date;bubble_score;risk_level;news_sentiment;news_volume;hype_score
2026-03-29 15:39:00;4.46;Alto;0.0;2;0.439
2026-03-29 15:39:45;4.46;Alto;0.0;2;0.439
2026-03-29 15:48:46;4.46;Alto;0.0;2;0.439
2026-03-29 16:40:51;4.46;Alto;0.0;2;0.439
2026-03-29 16:45:42;4.46;Alto;0.0;2;0.439
2026-03-29 16:47:57;4.46;Alto;0.0;2;0.439
2026-03-29 16:49:28;4.46;Alto;0.0;2;0.439
2026-03-29 16:58:04;4.46;0.439
2026-03-29 17:01:18;4.46;0.439
2026-03-29 17:47:52;4.46;0.439;HIGH RISK
2026-03-29 18:27:27;4.46;0.439;HIGH RISK
2026-03-29 18:32:56;4.46;0.439;HIGH RISK
2026-03-29 18:38:06;4.46;0.439;HIGH RISK
2026-03-29 19:57:41;5.2;0.439;BUBBLE
2026-03-29 20:01:09;5.2;0.439;BUBBLE
2026-03-29 20:03:02;4.0;0.439;HIGH RISK
2026-03-29 20:32:26;4.0;0.439;HIGH RISK
2026-03-29 20:50:47;4.0;0.439;HIGH RISK
2026-03-29 21:12:50;4.0;0.439;HIGH RISK
2026-03-29 21:15:08;4.0;0.439;HIGH RISK
2026-03-29 22:09:48;4.0;0.439;HIGH RISK
2026-03-29 22:25:12;4.0;0.439;HIGH RISK
2026-03-29 22:26:17;4.0;0.439;HIGH RISK
2026-03-29 23:02:15;5.5;0.439;BUBBLE
2026-03-29 23:07:37;5.5;0.439;BUBBLE
2026-03-29 23:11:23;5.5;0.439;BUBBLE
2026-03-29 23:20:11;5.5;0.439;BUBBLE
2026-03-29 23:22:53;5.5;0.439;BUBBLE
2026-03-29 23:33:25;5.5;0.439;BUBBLE
2026-03-30 00:00:03;5.5;0.439;BUBBLE
2026-03-30 00:05:04;2.5;0.4;CAUTION
2026-03-30 00:10:04;0;0.4;LOW RISK
2026-03-30 00:15:05;0;0.4;LOW RISK
